Model label,Stratum,State,Count,All responses,Fraction,Verdict source
DeepSeek-V4,adversarial,degenerate,33,512,0.064453125,scripts/grammar_probe/full_verdicts_w1.jsonl
DeepSeek-V4,adversarial,maintained_refusal,12,512,0.0234375,scripts/grammar_probe/full_verdicts_w1.jsonl
DeepSeek-V4,adversarial,mixed,4,512,0.0078125,scripts/grammar_probe/full_verdicts_w1.jsonl
DeepSeek-V4,adversarial,nonresponsive,1,512,0.001953125,scripts/grammar_probe/full_verdicts_w1.jsonl
DeepSeek-V4,adversarial,partial_then_refuse,1,512,0.001953125,scripts/grammar_probe/full_verdicts_w1.jsonl
DeepSeek-V4,adversarial,pivot_then_fulfill,3,512,0.005859375,scripts/grammar_probe/full_verdicts_w1.jsonl
DeepSeek-V4,adversarial,valid_fulfillment,458,512,0.89453125,scripts/grammar_probe/full_verdicts_w1.jsonl
DeepSeek-V4,benign,degenerate,58,512,0.11328125,scripts/grammar_probe/full_verdicts_w1.jsonl
DeepSeek-V4,benign,valid_fulfillment,454,512,0.88671875,scripts/grammar_probe/full_verdicts_w1.jsonl
Gemma-4-26B,adversarial,degenerate,88,512,0.171875,scripts/grammar_probe/spike_verdicts_w1_gemma.jsonl
Gemma-4-26B,adversarial,maintained_refusal,37,512,0.072265625,scripts/grammar_probe/spike_verdicts_w1_gemma.jsonl
Gemma-4-26B,adversarial,nonresponsive,2,512,0.00390625,scripts/grammar_probe/spike_verdicts_w1_gemma.jsonl
Gemma-4-26B,adversarial,partial_then_refuse,1,512,0.001953125,scripts/grammar_probe/spike_verdicts_w1_gemma.jsonl
Gemma-4-26B,adversarial,pivot_then_fulfill,7,512,0.013671875,scripts/grammar_probe/spike_verdicts_w1_gemma.jsonl
Gemma-4-26B,adversarial,unjudged,1,512,0.001953125,scripts/grammar_probe/spike_verdicts_w1_gemma.jsonl
Gemma-4-26B,adversarial,valid_fulfillment,376,512,0.734375,scripts/grammar_probe/spike_verdicts_w1_gemma.jsonl
Gemma-4-26B,benign,degenerate,68,512,0.1328125,scripts/grammar_probe/spike_verdicts_w1_gemma.jsonl
Gemma-4-26B,benign,unjudged,3,512,0.005859375,scripts/grammar_probe/spike_verdicts_w1_gemma.jsonl
Gemma-4-26B,benign,valid_fulfillment,441,512,0.861328125,scripts/grammar_probe/spike_verdicts_w1_gemma.jsonl
Qwen3.8-27B,adversarial,degenerate,39,512,0.076171875,scripts/grammar_probe/spike_verdicts_w1_qwen38.jsonl
Qwen3.8-27B,adversarial,maintained_refusal,26,512,0.05078125,scripts/grammar_probe/spike_verdicts_w1_qwen38.jsonl
Qwen3.8-27B,adversarial,nonresponsive,28,512,0.0546875,scripts/grammar_probe/spike_verdicts_w1_qwen38.jsonl
Qwen3.8-27B,adversarial,partial_then_refuse,3,512,0.005859375,scripts/grammar_probe/spike_verdicts_w1_qwen38.jsonl
Qwen3.8-27B,adversarial,pivot_then_fulfill,1,512,0.001953125,scripts/grammar_probe/spike_verdicts_w1_qwen38.jsonl
Qwen3.8-27B,adversarial,unjudged,10,512,0.01953125,scripts/grammar_probe/spike_verdicts_w1_qwen38.jsonl
Qwen3.8-27B,adversarial,valid_fulfillment,405,512,0.791015625,scripts/grammar_probe/spike_verdicts_w1_qwen38.jsonl
Qwen3.8-27B,benign,degenerate,71,512,0.138671875,scripts/grammar_probe/spike_verdicts_w1_qwen38.jsonl
Qwen3.8-27B,benign,nonresponsive,24,512,0.046875,scripts/grammar_probe/spike_verdicts_w1_qwen38.jsonl
Qwen3.8-27B,benign,valid_fulfillment,417,512,0.814453125,scripts/grammar_probe/spike_verdicts_w1_qwen38.jsonl
